sitename, ranking, type
finance.yahoo.com, A, Data Providers
fitchratings.com, A, Rating Agencies
spglobal.com/marketintelligence, A, Rating Agencies
standardandpoors.com, A, Rating Agencies
theguardian.com, A, International News
infrontanalaytics.com, B, Rating Agencies
nzx.com, Country Specific, Country Exchange
simplywall.st, Country Specific, Data Providers
thebbc.co.nz, Country Specific, International News
bbc.co.uk, Country Specific, International News
scoop.co.nz, Country Specific, International News
cityam.co.uk,Country Specific, International News
reuters.com, A, Financial
bloomberg.com, A, Financial
mckinsey.com, A, Financial
